shooter_id,date,rifle_id,range_yd,mv_fps,mv_sd,wind_mph,wind_dir_deg,DA_ft,temp_F,pressure_inHg,rh_pct,group_moa,target_size_moa,shot_id,outcome,true_prob,rest_bipod,rest_offhand,rest_prone_bag,rest_tripod,range_sq,wind_sq,range_x_wind,group_x_range,range_x_target,wind_cross_mph,wind_head_mph
josh,2025-10-01,7mmPRC,500,2996.0,4.0,45.6,221,8069,28.7,24.88,16.2,0.43,1.5,2025-10-01-0171,1,0.5031,True,False,False,False,250000,2079.36,22800.0,215.0,750.0,-34.41475685815841,-29.916291721967124
not josh,2025-10-28,6.5PRC,600,2745.5,4.2,21.0,278,8088,28.4,24.65,16.0,1.3,1.0,2025-10-28-0220,0,0.5083,False,False,True,False,360000,441.0,12600.0,780.0,600.0,2.9226351201613747,-20.795629443572977
josh,2025-11-01,6.5PRC,600,2733.2,6.1,52.2,298,7964,29.0,24.74,36.2,0.91,2.0,2025-11-01-0520,1,0.2522,True,False,False,False,360000,2724.84,31320.0,546.0,1200.0,24.506415577423482,-46.089864347235995
not josh,2025-10-29,6.5PRC,800,2770.1,11.5,46.8,202,7141,29.7,24.83,16.4,0.73,0.75,2025-10-29-0229,0,0.0896,False,False,False,False,640000,2190.24,37440.0,584.0,600.0,-43.39220439372565,-17.53158857186468
josh,2025-10-30,7mmPRC,600,3001.9,6.5,48.0,75,8460,31.0,24.79,15.7,0.82,1.0,2025-10-30-0360,0,0.2489,True,False,False,False,360000,2304.0,28800.0,491.99999999999994,600.0,12.423314164920995,46.36443966187528
josh,2025-09-01,6.5PRC,300,2751.6,8.8,12.0,110,7957,30.1,24.59,14.2,1.11,2.0,2025-09-01-0595,1,0.9168,False,False,False,False,90000,144.0,3600.0,333.00000000000006,600.0,-4.104241719908025,11.276311449430901
josh,2025-10-07,6.5PRC,800,2738.4,7.9,22.2,244,7936,30.5,24.6,5.0,1.03,0.75,2025-10-07-0577,0,0.3103,False,False,False,True,640000,492.84,17760.0,824.0,600.0,-9.731839458717525,-19.953227827841502
not josh,2025-09-21,7mmPRC,900,2958.5,8.6,43.8,300,8447,31.7,25.03,28.2,1.1,0.75,2025-09-21-0338,0,0.0593,True,False,False,False,810000,1918.4399999999998,39420.0,990.0000000000001,675.0,21.900000000000002,-37.931912685758405
not josh,2025-09-12,6.5PRC,800,2730.7,7.5,78.0,151,7886,31.3,25.01,14.6,1.23,0.75,2025-09-12-0174,0,0.0122,False,False,True,False,640000,6084.0,62400.0,984.0,600.0,-68.22033715687287,37.8151503792143
josh,2025-10-27,7mmPRC,300,2986.6,10.4,40.8,303,8480,32.5,24.73,5.0,0.55,0.75,2025-10-27-0033,1,0.6304,False,False,True,False,90000,1664.6399999999999,12240.0,165.0,225.0,22.221272628613086,-34.21775917217331
not josh,2025-09-26,7mmPRC,400,2995.7,11.4,62.4,138,8135,32.3,24.71,24.2,0.63,0.5,2025-09-26-0152,0,0.1572,False,False,True,False,160000,3893.7599999999998,24960.0,252.0,200.0,-46.372237109789396,41.75374983679276
josh,2025-10-15,6.5PRC,600,2766.9,11.1,47.4,170,7142,32.6,24.8,39.7,0.81,0.75,2025-10-15-0589,0,0.2114,False,False,True,False,360000,2246.7599999999998,28440.0,486.00000000000006,450.0,-46.67988749277866,8.230923621412495
not josh,2025-10-30,6.5PRC,500,2763.6,7.2,52.8,345,7931,32.9,24.89,42.7,1.08,1.5,2025-10-30-0172,0,0.2149,False,False,True,False,250000,2787.8399999999997,26400.0,540.0,750.0,51.0008836280628,-13.665645581413091
not josh,2025-09-25,6.5PRC,700,2768.1,9.2,53.4,358,7645,33.1,24.99,5.0,0.84,1.0,2025-09-25-0505,0,0.088,True,False,False,False,490000,2851.56,37380.0,588.0,700.0,53.367470162819714,-1.863633123913544
josh,2025-10-01,6.5PRC,700,2729.5,9.4,90.6,297,7735,33.0,25.18,26.8,0.94,0.75,2025-10-01-0169,0,0.0132,False,False,True,False,490000,8208.359999999999,63419.99999999999,658.0,525.0,41.131539276402926,-80.72519109146614
josh,2025-09-14,7mmPRC,700,2993.4,10.9,58.2,154,8552,33.6,25.04,16.9,1.0,1.5,2025-09-14-0363,0,0.1055,False,False,False,False,490000,3387.2400000000002,40740.0,700.0,1050.0,-52.309813494611525,25.5132007431243
not josh,2025-09-01,7mmPRC,300,2984.9,7.4,67.8,44,8272,33.4,24.9,14.2,1.1,1.5,2025-09-01-0040,0,0.2007,False,False,True,False,90000,4596.839999999999,20340.0,330.0,450.0,48.77123846296055,47.09783751712001
josh,2025-11-03,6.5PRC,400,2750.7,7.7,19.8,290,7965,33.5,24.91,28.2,1.04,0.5,2025-11-03-0275,1,0.7429,False,False,True,False,160000,392.04,7920.0,416.0,200.0,6.771998837848246,-18.605913891560984
not josh,2025-10-02,7mmPRC,800,2998.5,9.7,52.2,43,7898,33.9,24.63,19.5,0.43,0.5,2025-10-02-0436,0,0.073,True,False,False,False,640000,2724.84,41760.0,344.0,400.0,38.1766632245207,35.60031439526242
not josh,2025-10-22,6.5PRC,800,2745.4,9.3,10.2,88,7916,33.6,24.95,21.3,1.43,1.0,2025-10-22-0111,0,0.3859,False,False,True,False,640000,104.03999999999999,8159.999999999999,1144.0,800.0,0.355974866365511,10.193786435594776
josh,2025-09-20,6.5PRC,700,2756.9,7.8,52.8,321,7882,36.7,24.85,19.5,0.98,1.0,2025-09-20-0556,0,0.1293,False,False,True,False,490000,2787.8399999999997,36960.0,686.0,700.0,41.03330676492804,-33.228116647431435
josh,2025-10-28,7mmPRC,800,2974.2,9.0,95.4,316,8373,34.1,24.18,27.3,0.83,0.75,2025-10-28-0322,0,0.0063,False,False,False,True,640000,9101.160000000002,76320.0,664.0,600.0,68.62501695230729,-66.27040854178837
not josh,2025-09-26,7mmPRC,700,2962.9,8.4,43.8,71,8828,38.1,24.72,37.1,0.94,1.5,2025-09-26-0099,0,0.1854,False,False,True,False,490000,1918.4399999999998,30659.999999999996,658.0,1050.0,14.259885165223466,41.41371361125007
josh,2025-09-30,7mmPRC,700,2976.0,15.0,25.2,204,8424,34.7,24.61,35.2,0.8,1.0,2025-09-30-0103,0,0.3664,True,False,False,False,490000,635.04,17640.0,560.0,700.0,-23.021345532593543,-10.249763405510166
josh,2025-09-03,7mmPRC,500,2997.6,9.5,66.0,268,8232,35.0,25.0,19.1,1.01,0.75,2025-09-03-0566,0,0.1135,False,False,True,False,250000,4356.0,33000.0,505.0,375.0,-2.30336678236505,-65.95979458326032
josh,2025-09-30,7mmPRC,600,2969.3,10.3,54.0,324,8021,38.3,24.81,14.7,0.9,1.0,2025-09-30-0007,0,0.1665,False,False,True,False,360000,2916.0,32400.0,540.0,600.0,43.68691769624716,-31.74040362379356
not josh,2025-10-28,6.5PRC,600,2757.7,12.0,11.4,352,7730,35.7,25.29,5.0,0.74,0.75,2025-10-28-0262,1,0.6397,False,False,False,False,360000,129.96,6840.0,444.0,450.0,11.2890559836539,-1.586573350944751
not josh,2025-10-13,6.5PRC,500,2734.2,4.2,21.6,248,7556,35.8,24.65,5.0,0.75,0.75,2025-10-13-0325,1,0.6781,False,False,False,False,250000,466.56000000000006,10800.0,375.0,375.0,-8.091502417783706,-20.027171258642607
josh,2025-09-18,6.5PRC,600,2771.1,10.2,24.0,218,7705,36.0,24.6,33.6,0.92,0.75,2025-09-18-0432,0,0.5138,False,False,True,False,360000,576.0,14400.0,552.0,450.0,-18.91225808656133,-14.775875407815796
josh,2025-09-02,6.5PRC,800,2748.2,11.6,52.8,354,7862,38.3,24.9,16.7,0.92,0.75,2025-09-02-0500,0,0.0764,False,False,False,False,640000,2787.8399999999997,42240.0,736.0,600.0,52.510756075444824,-5.5191028605321
not josh,2025-10-20,7mmPRC,300,3001.1,7.4,28.8,154,8608,37.2,25.05,33.2,1.02,0.75,2025-10-20-0547,0,0.6795,False,False,True,False,90000,829.44,8640.0,306.0,225.0,-25.88526853341601,12.625089027525426
josh,2025-10-14,6.5PRC,400,2756.0,11.6,24.6,30,7768,37.4,24.4,27.4,0.8,0.75,2025-10-14-0354,1,0.6755,True,False,False,False,160000,605.1600000000001,9840.0,320.0,300.0,21.304224933097192,12.299999999999999
josh,2025-09-30,6.5PRC,500,2766.2,10.3,28.2,14,7621,37.8,24.62,16.4,1.11,1.0,2025-09-30-0028,0,0.4882,False,False,False,True,250000,795.24,14100.0,555.0,500.0,27.3623394809831,6.82219745591063
josh,2025-10-29,6.5PRC,800,2761.3,5.2,54.6,198,7546,38.6,24.85,16.7,1.12,0.75,2025-10-29-0562,0,0.0816,False,False,False,False,640000,2981.1600000000003,43680.0,896.0000000000001,600.0,-51.92768578971539,-16.87232789287212
josh,2025-10-18,7mmPRC,400,2986.5,8.1,75.6,123,8671,38.2,25.08,8.3,0.62,1.0,2025-10-18-0440,0,0.13,True,False,False,False,160000,5715.359999999999,30239.999999999996,248.0,400.0,-41.17471104713604,63.40349493667405
josh,2025-09-28,6.5PRC,600,2745.6,6.7,6.0,258,7606,38.2,24.68,27.4,0.87,1.0,2025-09-28-0457,1,0.7913,True,False,False,False,360000,36.0,3600.0,522.0,600.0,-1.2474701449065586,-5.868885604402833
josh,2025-11-02,7mmPRC,600,2985.6,9.4,32.4,271,8997,38.9,24.68,14.9,1.26,2.0,2025-11-02-0538,0,0.4325,True,False,False,False,360000,1049.76,19440.0,756.0,1200.0,0.5654579685679734,-32.39506532306707
not josh,2025-09-21,7mmPRC,800,2986.1,9.0,52.8,115,8308,39.7,24.49,11.1,0.66,1.5,2025-09-21-0270,0,0.0791,False,False,False,True,640000,2787.8399999999997,42240.0,528.0,1200.0,-22.31424421990892,47.85305115553512
josh,2025-11-03,6.5PRC,700,2757.0,10.6,7.2,310,8370,38.4,24.88,23.9,1.01,0.75,2025-11-03-0335,1,0.6526,False,False,False,False,490000,51.84,5040.0,707.0,525.0,4.628070789743083,-5.515519990456642
not josh,2025-09-07,7mmPRC,500,2993.1,10.5,55.8,30,7946,39.8,24.97,21.9,1.08,0.75,2025-09-07-0218,1,0.134,False,False,True,False,250000,3113.64,27900.0,540.0,375.0,48.324217531171676,27.899999999999995
josh,2025-09-17,7mmPRC,800,2980.9,9.4,57.0,272,8325,40.2,24.97,12.0,0.98,0.75,2025-09-17-0079,0,0.0579,True,False,False,False,640000,3249.0,45600.0,784.0,600.0,1.9892713120425731,-56.96527714008846
josh,2025-10-12,6.5PRC,600,2749.5,8.0,58.8,104,7663,41.6,24.54,21.7,1.27,1.5,2025-10-12-0011,0,0.0867,False,True,False,False,360000,3457.4399999999996,35280.0,762.0,900.0,-14.225007461260464,57.05338870502859
josh,2025-09-07,7mmPRC,1000,2988.7,12.5,43.2,346,8159,41.8,24.95,11.2,0.75,0.75,2025-09-07-0463,0,0.0598,True,False,False,False,1000000,1866.2400000000002,43200.0,750.0,750.0,41.91677537512305,-10.451025889905653
not josh,2025-09-22,7mmPRC,1000,2994.1,16.3,50.4,11,8638,48.9,24.79,26.2,0.93,1.5,2025-09-22-0356,0,0.025,False,False,False,True,1000000,2540.16,50400.0,930.0,1500.0,49.47401004576226,9.616773366977858
josh,2025-10-26,6.5PRC,300,2774.0,10.2,54.0,122,7267,50.2,24.84,9.8,1.13,1.0,2025-10-26-0131,0,0.3091,False,False,False,True,90000,2916.0,16200.0,338.99999999999994,300.0,-28.615640268593058,45.79459719244701
josh,2025-09-11,6.5PRC,1000,2752.4,12.5,9.0,58,7760,39.2,24.86,36.4,0.86,1.0,2025-09-11-0541,1,0.3475,False,False,True,False,1000000,81.0,9000.0,860.0,1000.0,4.769273378098844,7.632432865407835
josh,2025-09-15,7mmPRC,800,3002.3,11.3,45.6,72,8059,50.6,24.89,22.0,0.98,1.0,2025-09-15-0140,0,0.0785,False,True,False,False,640000,2079.36,36480.0,784.0,800.0,14.091174943497604,43.368177143059
josh,2025-10-19,7mmPRC,500,2991.8,8.1,57.6,46,8447,51.7,24.79,31.6,0.63,2.0,2025-10-19-0579,0,0.3148,False,False,True,False,250000,3317.76,28800.0,315.0,1000.0,40.01232213843824,41.43397249950631
not josh,2025-10-08,7mmPRC,900,2987.4,6.6,58.2,234,8331,52.1,24.59,43.1,0.92,0.75,2025-10-08-0090,0,0.0372,False,False,False,False,810000,3387.2400000000002,52380.0,828.0,675.0,-34.20910168342194,-47.08478907262194
josh,2025-10-03,7mmPRC,700,2997.7,13.9,46.8,97,8917,52.7,24.65,7.9,1.32,0.5,2025-10-03-0201,0,0.0973,False,False,True,False,490000,2190.24,32759.999999999996,924.0,350.0,-5.703485271360896,46.45115989681387
josh,2025-10-06,7mmPRC,600,2999.0,9.5,42.6,182,8659,52.8,24.88,24.1,0.73,0.75,2025-10-06-0509,0,0.2133,False,True,False,False,360000,1814.7600000000002,25560.0,438.0,450.0,-42.57404923101348,-1.4867185595265384
josh,2025-11-03,6.5PRC,1000,2744.7,9.9,58.8,55,7708,53.9,24.82,5.0,1.05,1.5,2025-11-03-0121,0,0.0309,False,False,True,False,1000000,3457.4399999999996,58800.0,1050.0,1500.0,33.726294457441504,48.166140204192715
not josh,2025-10-10,7mmPRC,800,3001.5,8.6,51.0,162,7295,54.1,24.87,24.7,1.04,0.75,2025-10-10-0504,0,0.0657,False,False,True,False,640000,2601.0,40800.0,832.0,600.0,-48.50388233105283,15.759866713122323
not josh,2025-09-30,6.5PRC,500,2770.1,11.3,58.8,328,7815,55.1,24.77,21.4,1.29,1.0,2025-09-30-0397,0,0.0926,True,False,False,False,250000,3457.4399999999996,29400.0,645.0,500.0,49.86522805399784,-31.159252736912453
josh,2025-09-25,6.5PRC,500,2744.0,6.7,40.8,30,7660,55.1,24.99,12.1,1.3,0.75,2025-09-25-0451,1,0.3444,False,False,True,False,250000,1664.6399999999999,20400.0,650.0,375.0,35.333836474405096,20.399999999999995
josh,2025-10-18,7mmPRC,900,2991.4,13.8,30.0,118,8200,40.4,25.13,19.2,0.86,1.0,2025-10-18-0346,0,0.1798,False,False,True,False,810000,900.0,27000.0,774.0,900.0,-14.084146883576727,26.488427785767808
not josh,2025-09-01,7mmPRC,700,2986.8,8.6,67.8,327,7602,40.6,24.5,5.0,0.71,2.0,2025-09-01-0027,0,0.0728,False,False,False,False,490000,4596.839999999999,47460.0,497.0,1400.0,56.861864506699746,-36.92652657401883
josh,2025-10-03,7mmPRC,1000,2995.2,7.3,59.4,345,7731,55.5,24.82,19.1,1.01,0.75,2025-10-03-0034,0,0.0279,False,False,True,False,1000000,3528.3599999999997,59400.0,1010.0,750.0,57.37599408157065,-15.373851279089727
josh,2025-10-19,7mmPRC,500,3000.3,12.6,31.2,318,8304,56.0,24.87,13.7,0.67,1.5,2025-10-19-0243,0,0.4821,False,True,False,False,250000,973.4399999999999,15600.0,335.0,750.0,23.1861185548947,-20.87687491839637
josh,2025-09-13,6.5PRC,600,2754.6,13.9,74.4,199,7760,41.3,24.74,22.2,0.91,1.0,2025-09-13-0054,0,0.047,False,False,False,False,360000,5535.360000000001,44640.0,546.0,600.0,-70.34658202458917,-24.222270691612465
not josh,2025-10-02,7mmPRC,700,2997.6,10.1,45.6,342,7821,56.8,24.82,22.3,0.94,0.75,2025-10-02-0377,0,0.1155,True,False,False,False,490000,2079.36,31920.0,658.0,525.0,43.368177143059,-14.091174943497615
josh,2025-10-14,7mmPRC,700,2970.6,10.3,61.2,178,8162,41.8,25.15,9.3,0.98,1.0,2025-10-14-0551,0,0.076,False,False,True,False,490000,3745.4400000000005,42840.0,686.0,700.0,-61.162718613568664,2.13584919819307
josh,2025-09-14,7mmPRC,400,2980.2,15.2,34.2,270,8666,57.2,24.96,27.3,1.08,0.75,2025-09-14-0428,1,0.4548,True,False,False,False,160000,1169.64,13680.000000000002,432.0,300.0,-6.282438079625922e-15,-34.2
josh,2025-10-15,7mmPRC,400,2967.0,5.2,16.2,151,8153,42.2,24.66,12.3,0.76,0.75,2025-10-15-0165,1,0.8485,False,False,True,False,160000,262.44,6480.0,304.0,300.0,-14.168839255658211,7.8539158479906614
not josh,2025-09-29,6.5PRC,400,2763.4,8.6,65.4,18,7508,42.2,25.2,10.4,1.18,0.75,2025-09-29-0511,0,0.1188,False,False,False,False,160000,4277.160000000001,26160.000000000004,472.0,300.0,62.19909616570305,20.209711432121562
not josh,2025-10-29,6.5PRC,800,2758.7,13.6,32.4,299,7761,57.4,24.54,17.4,1.22,2.0,2025-10-29-0244,0,0.1878,False,False,False,False,640000,1049.76,25920.0,976.0,1600.0,15.707831695981326,-28.33767851131642
josh,2025-09-17,6.5PRC,700,2770.5,16.8,23.4,104,7821,42.4,24.64,13.7,0.74,1.0,2025-09-17-0118,0,0.3953,False,False,True,False,490000,547.56,16379.999999999998,518.0,700.0,-5.660972357032226,22.704919994858315
not josh,2025-10-04,6.5PRC,1000,2746.5,6.8,65.4,259,8399,42.4,24.63,22.4,1.27,0.75,2025-10-04-0039,0,0.0097,False,False,False,True,1000000,4277.160000000001,65400.00000000001,1270.0,750.0,-12.478908297626019,-64.19841779747723
josh,2025-09-16,6.5PRC,700,2739.1,9.5,92.4,247,7420,42.5,24.54,37.3,0.86,0.75,2025-09-16-0183,0,0.0125,False,False,True,False,490000,8537.76,64680.00000000001,602.0,525.0,-36.1035562724089,-85.05464845900549
josh,2025-10-03,7mmPRC,700,2987.0,11.1,62.4,247,7963,42.5,24.8,25.6,0.93,1.5,2025-10-03-0570,0,0.0831,False,False,True,False,490000,3893.7599999999998,43680.0,651.0,1050.0,-24.381622417730686,-57.43950285543227
josh,2025-09-14,6.5PRC,400,2752.2,13.8,22.2,358,7523,42.6,24.85,20.7,0.86,1.0,2025-09-14-0295,0,0.7136,False,False,True,False,160000,492.84,8880.0,344.0,400.0,22.186476359823924,-0.7747688267955183
josh,2025-09-29,7mmPRC,600,2993.1,11.5,10.2,278,8001,42.6,24.61,20.5,0.43,1.0,2025-09-29-0087,0,0.7919,False,False,False,False,360000,104.03999999999999,6120.0,258.0,600.0,1.4195656297926678,-10.100734301164017
josh,2025-09-26,7mmPRC,600,3005.9,7.9,30.0,313,8132,42.6,24.9,16.1,0.72,2.0,2025-09-26-0565,0,0.5806,True,False,False,False,360000,900.0,18000.0,432.0,1200.0,20.459950801874957,-21.94061104857511
josh,2025-10-23,6.5PRC,800,2731.2,14.6,36.6,204,8115,58.2,24.92,26.7,0.86,2.0,2025-10-23-0458,0,0.2331,False,False,False,False,640000,1339.5600000000002,29280.0,688.0,1600.0,-33.43576374971919,-14.886561136574288
not josh,2025-09-04,6.5PRC,500,2754.3,13.3,59.4,243,7841,58.6,24.63,19.3,1.2,0.75,2025-09-04-0204,0,0.0876,False,False,True,False,250000,3528.3599999999997,29700.0,600.0,375.0,-26.967035684529087,-52.925787536789045
josh,2025-09-06,6.5PRC,700,2758.8,7.0,56.4,66,8024,58.7,25.0,17.0,0.91,1.0,2025-09-06-0277,1,0.077,False,True,False,False,490000,3180.96,39480.0,637.0,700.0,22.93994666947513,51.52396381104269
not josh,2025-09-20,6.5PRC,700,2744.4,17.1,6.0,77,7861,43.1,24.7,21.4,0.48,1.0,2025-09-20-0114,0,0.6136,False,False,True,False,490000,36.0,4200.0,336.0,700.0,1.3497063260631896,5.846220388711411
josh,2025-09-01,7mmPRC,1000,2988.7,6.8,57.0,3,7797,60.2,24.91,29.1,0.7,0.5,2025-09-01-0498,0,0.0373,False,False,True,False,1000000,3249.0,57000.0,700.0,500.0,56.92188348101071,2.9831495058477984
josh,2025-10-19,7mmPRC,700,2987.9,9.9,68.4,141,8424,43.4,25.0,19.1,0.65,1.0,2025-10-19-0568,0,0.0584,True,False,False,False,490000,4678.56,47880.00000000001,455.0,700.0,-53.15678376365681,43.04551474780888
not josh,2025-10-14,7mmPRC,500,2984.7,11.8,61.8,214,8356,43.5,24.69,22.7,0.72,1.0,2025-10-14-0328,0,0.1139,True,False,False,False,250000,3819.24,30900.0,360.0,500.0,-51.23452198390158,-34.55812143449214
josh,2025-09-15,7mmPRC,700,2987.6,2.4,10.8,187,8815,43.6,25.09,10.7,0.81,0.75,2025-09-15-0536,1,0.7215,False,False,True,False,490000,116.64000000000001,7560.000000000001,567.0,525.0,-10.71949843772628,-1.3161889087755911
not josh,2025-10-06,6.5PRC,900,2732.3,14.3,38.4,337,8210,60.8,25.09,22.6,1.12,0.75,2025-10-06-0245,0,0.0586,True,False,False,False,810000,1474.56,34560.0,1008.0000000000001,675.0,35.3473863725737,-15.004075333988116
not josh,2025-09-07,7mmPRC,700,2973.4,8.7,55.2,327,8755,61.3,24.33,19.1,1.4,0.5,2025-09-07-0258,0,0.0497,True,False,False,False,490000,3047.0400000000004,38640.0,979.9999999999999,350.0,46.29461535058741,-30.06407473282949
josh,2025-10-09,7mmPRC,900,3011.6,11.6,52.8,76,8275,62.1,24.55,19.1,0.89,0.75,2025-10-09-0482,0,0.0529,False,False,True,False,810000,2787.8399999999997,47520.0,801.0,675.0,12.773476087662452,51.23161434737261
josh,2025-10-16,6.5PRC,600,2760.7,5.6,65.4,96,7793,44.1,24.38,18.6,1.24,2.0,2025-10-16-0413,0,0.1011,False,False,False,True,360000,4277.160000000001,39240.0,744.0,1200.0,-6.836161497704543,65.04173195708508
josh,2025-09-04,7mmPRC,300,2979.0,8.4,75.0,88,8126,44.5,24.79,30.5,0.65,0.75,2025-09-04-0047,0,0.1696,True,False,False,False,90000,5625.0,22500.0,195.0,225.0,2.617462252687581,74.95431202643218
josh,2025-09-01,7mmPRC,700,2986.3,13.1,65.4,159,7905,44.5,24.9,18.2,0.84,1.5,2025-09-01-0357,0,0.0712,False,False,False,False,490000,4277.160000000001,45780.00000000001,588.0,1050.0,-61.056159892917,23.437263900262636
josh,2025-10-27,6.5PRC,400,2734.1,16.0,73.8,352,7647,44.6,24.9,17.2,1.02,2.0,2025-10-27-0569,0,0.0949,False,False,False,True,160000,5446.44,29520.0,408.0,800.0,73.08178347312789,-10.27097485085286
josh,2025-09-01,7mmPRC,900,2987.9,6.8,74.4,18,8304,44.7,24.76,5.0,0.86,2.0,2025-09-01-0549,0,0.0271,True,False,False,False,810000,5535.360000000001,66960.0,774.0,1800.0,70.75860481235942,22.99086438149609
josh,2025-11-02,7mmPRC,900,3003.9,11.3,13.8,278,7991,44.9,24.95,21.7,0.57,1.0,2025-11-02-0297,0,0.4458,False,False,True,False,810000,190.44000000000003,12420.0,513.0,900.0,1.9205887932489034,-13.665699348633671
josh,2025-10-11,7mmPRC,900,2995.5,15.1,52.2,235,8934,62.7,24.8,7.2,1.07,1.5,2025-10-11-0395,0,0.048,True,False,False,False,810000,2724.84,46980.0,963.0,1350.0,-29.940689977524624,-42.75973671188536
josh,2025-09-29,6.5PRC,500,2759.7,12.4,93.6,225,7588,45.2,24.66,17.5,0.48,1.0,2025-09-29-0369,1,0.0283,True,False,False,False,250000,8760.96,46800.0,240.0,500.0,-66.18519471906086,-66.18519471906083
josh,2025-10-15,7mmPRC,500,2982.3,8.2,71.4,189,8462,45.3,24.63,21.1,1.2,0.5,2025-10-15-0188,0,0.0735,False,False,True,False,250000,5097.960000000001,35700.0,600.0,250.0,-70.52094751849285,-11.169420803872475
josh,2025-10-11,7mmPRC,500,2989.5,8.9,88.8,308,7349,45.6,24.8,9.1,0.8,1.0,2025-10-11-0441,0,0.0408,False,False,True,False,250000,7885.44,44400.0,400.0,500.0,54.670739008918474,-69.9753549202769
josh,2025-10-06,7mmPRC,500,2982.0,9.8,7.8,294,8409,45.7,24.87,14.8,0.8,1.0,2025-10-06-0332,1,0.811,False,False,False,True,250000,60.839999999999996,3900.0,400.0,500.0,3.172545815991238,-7.125654569612288
josh,2025-09-08,6.5PRC,1000,2746.8,8.7,67.2,92,7766,46.3,24.77,25.1,0.71,0.75,2025-09-08-0449,0,0.0205,False,False,False,False,1000000,4515.84,67200.0,710.0,750.0,-2.3452461784080643,67.15906357568323
josh,2025-10-13,7mmPRC,500,3000.7,13.3,72.0,58,7919,46.4,24.78,15.5,0.62,2.0,2025-10-13-0205,0,0.1307,False,False,True,False,250000,5184.0,36000.0,310.0,1000.0,38.15418702479075,61.05946292326268
josh,2025-10-11,6.5PRC,900,2734.6,10.1,42.6,279,7828,62.9,25.03,20.8,1.21,0.5,2025-10-11-0571,0,0.0662,True,False,False,False,810000,1814.7600000000002,38340.0,1089.0,450.0,6.6641082107138265,-42.07552330935287
josh,2025-10-02,7mmPRC,1000,2980.5,5.9,61.8,111,8380,46.4,24.75,5.0,0.75,1.0,2025-10-02-0228,0,0.0278,False,False,False,True,1000000,3819.24,61800.0,750.0,1000.0,-22.147139281899555,57.695270357527065
not josh,2025-09-22,6.5PRC,1000,2749.4,5.6,87.0,108,7853,46.4,24.66,5.0,0.73,1.5,2025-09-22-0347,0,0.0065,False,False,True,False,1000000,7569.0,87000.0,730.0,1500.0,-26.88447851062042,82.74191691767837
